Genus_silva	Genus_ehomd	n_asvs
SAR324_clade(Marine_group_B)	Desulfomicrobium	2
SAR324_clade(Marine_group_B)	Desulfovibrio	2
SM2D12	Afipia	2
SM2D12	Erythrobacter	2
Saccharimonadales	Saccharimonadales [F2 G1]	2
Saccharimonadales	Saccharimonadales [F4 G1]	2
Sediminispirochaeta	Treponema	2
Sericytochromatia	Selenomonas	2
Silicimonas	Haematobacter	2
Sporosarcina	Enterococcus	2
Streptococcus	Ruminococcaceae [G2]	2
Subgroup_21	Clostridiales [F1 G2]	2
Succinivibrio	Aggregatibacter	2
Sutterella	Schlegelella	2
