disease	feature	k	estimate	se	p	I2	padj
IBS-D	PWY0-1479	2	-0.23503637129841554	0.2079225246364971	0.25830619600181004	44.46673282113915	0.6309446426929458
IBS-D	PYRIDNUCSAL-PWY	2	0.15149492523346952	0.1338630286722157	0.25775387185346904	61.53631235878831	0.6309446426929458
IBS-D	PWY-5484	2	-0.02559058078710976	0.02320918694657886	0.27019845317387187	0	0.6546271467139335
IBS-D	P4-PWY	2	-0.01839206438777125	0.016852734230948258	0.2751232661939549	0	0.6611833332725691
IBS-D	PWY-5005	2	0.20276259070088049	0.1903002341270865	0.2866552128753762	0	0.6726240428099378
IBS-D	PWY-6478	2	-0.32393865772543357	0.3031708631280324	0.28529415230020017	39.92678132222909	0.6726240428099378
IBS-D	PWY-7229	2	0.024706229759566274	0.023185980731117998	0.2866191536280263	0	0.6726240428099378
IBS-D	DAPLYSINESYN-PWY	2	-0.04491109909405194	0.043028070343395675	0.29659514748126725	59.73043638861392	0.6851577825536251
IBS-D	PWY-7197	2	-0.04315957030031411	0.04117647305684604	0.2945644677971602	18.474421776169233	0.6851577825536251
IBS-D	P221-PWY	2	-0.3181328870988572	0.30723820170739335	0.3004541090728424	0	0.6887332654131311
IBS-D	ECASYN-PWY	2	-0.5028356641862268	0.4969681768881461	0.31163055020387065	0	0.6982398794041613
IBS-D	PWY-6353	2	-0.3367805194485219	0.3326684275746799	0.31136551083685854	71.03289558545474	0.6982398794041613
IBS-D	SALVADEHYPOX-PWY	2	-0.42753058662465643	0.42197697642830523	0.3109832980429733	77.67518850580169	0.6982398794041613
IBS-D	MET-SAM-PWY	2	0.035365627245068185	0.036066254505115525	0.32680291850345317	30.826996469941577	0.7238391002218807
IBS-D	PWY-7328	2	-0.23050475419882557	0.23561167407182768	0.3279136863421272	81.89377748293182	0.7238391002218807
IBS-D	POLYAMSYN-PWY	2	0.4253272978176131	0.44110819386273936	0.3349334176120203	75.70209046134684	0.7295321758755666
IBS-D	PWY-6121	2	0.028364376924954793	0.02944451889775761	0.3353889533387672	51.86887805988071	0.7295321758755666
IBS-D	PWY-5180	2	-0.5352587884372195	0.5947427738303169	0.36812893739766145	76.46115086757587	0.7697388630041506
IBS-D	PWY-5182	2	-0.5352587884372195	0.5947427738303169	0.36812893739766145	76.46115086757587	0.7697388630041506
