feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	study	disease
PWY-7007	group	GERD	-0.860646929281047	0.779664125104599	26	20	0.280595291804655	0.90197076167089	Ziganshina_2020	GERD
PWY-7031	group	GERD	-0.191658113192644	0.453720219393347	26	26	0.676482729313318	0.90197076167089	Ziganshina_2020	GERD
PWY-7090	group	GERD	-0.258889278598082	0.585758568923788	26	25	0.662465998207213	0.90197076167089	Ziganshina_2020	GERD
PWY-7111	group	GERD	0.109054891850403	0.0577464923817162	26	26	0.071102745688553	0.90197076167089	Ziganshina_2020	GERD
PWY-7159	group	GERD	0.442145359434086	0.422458837333414	26	4	0.30571091523705	0.90197076167089	Ziganshina_2020	GERD
PWY-7184	group	GERD	0.0300502984479536	0.0456124601661408	26	26	0.516284307734055	0.90197076167089	Ziganshina_2020	GERD
PWY-7187	group	GERD	0.0122797169128541	0.0269788743349389	26	26	0.653084685215484	0.90197076167089	Ziganshina_2020	GERD
PWY-7197	group	GERD	0.0442890759693762	0.0464576290692275	26	26	0.349930673033387	0.90197076167089	Ziganshina_2020	GERD
PWY-7198	group	GERD	-0.868363338343394	0.756206029939302	26	15	0.262155379483766	0.90197076167089	Ziganshina_2020	GERD
PWY-7199	group	GERD	-0.0699087610894892	0.0636736421798573	26	26	0.283131472964246	0.90197076167089	Ziganshina_2020	GERD
PWY-7210	group	GERD	-0.86808986479603	0.755945907055623	26	15	0.262141875301185	0.90197076167089	Ziganshina_2020	GERD
PWY-7219	group	GERD	-0.0124354419481726	0.024273161403399	26	26	0.613115068529822	0.90197076167089	Ziganshina_2020	GERD
PWY-7220	group	GERD	-0.045496596541999	0.0326787759701893	26	26	0.176617904105453	0.90197076167089	Ziganshina_2020	GERD
PWY-7222	group	GERD	-0.045496596541999	0.0326787759701893	26	26	0.176617904105453	0.90197076167089	Ziganshina_2020	GERD
PWY-7228	group	GERD	0.0281402039641109	0.0361436280692169	26	26	0.443844286741801	0.90197076167089	Ziganshina_2020	GERD
PWY-7229	group	GERD	-0.0239924652145779	0.0252800057459854	26	26	0.352045286357318	0.90197076167089	Ziganshina_2020	GERD
PWY-7237	group	GERD	0.387303756422657	0.2935049200265	26	26	0.199424984605552	0.90197076167089	Ziganshina_2020	GERD
PWY-7242	group	GERD	0.113647272852127	0.172980576653312	26	26	0.517435771263155	0.90197076167089	Ziganshina_2020	GERD
PWY-7315	group	GERD	1.00986135867277	0.721354182874742	26	20	0.174322346909414	0.90197076167089	Ziganshina_2020	GERD
PWY-7323	group	GERD	-0.063326271549817	0.100246606493952	26	26	0.533551193385254	0.90197076167089	Ziganshina_2020	GERD
PWY-7332	group	GERD	-0.475301197828028	0.377376280536766	26	26	0.219965333103618	0.90197076167089	Ziganshina_2020	GERD
PWY-7371	group	GERD	0.282286146139595	0.422524245079921	26	26	0.510447818439994	0.90197076167089	Ziganshina_2020	GERD
PWY-7374	group	GERD	-0.696086486874036	0.485549361734804	26	3	0.16458521947486	0.90197076167089	Ziganshina_2020	GERD
PWY-7376	group	GERD	-0.119596729678626	0.157769966310398	26	3	0.455803713275856	0.90197076167089	Ziganshina_2020	GERD
PWY-7377	group	GERD	0.185030425069772	0.223302692065867	26	26	0.415491004899295	0.90197076167089	Ziganshina_2020	GERD
PWY-7391	group	GERD	-1.05735149741341	0.760402554951268	26	23	0.177133336776273	0.90197076167089	Ziganshina_2020	GERD
PWY-7400	group	GERD	0.220132298380435	0.12067278459768	26	26	0.0805967229330059	0.90197076167089	Ziganshina_2020	GERD
PWY-7431	group	GERD	-0.569445883027508	0.674724492690158	26	10	0.407021274380035	0.90197076167089	Ziganshina_2020	GERD
PWY-7539	group	GERD	-0.0311573337800022	0.0345924156194166	26	26	0.376698477958936	0.90197076167089	Ziganshina_2020	GERD
PWY-7560	group	GERD	-0.0234353264976597	0.0494673744635371	26	26	0.639957281138675	0.90197076167089	Ziganshina_2020	GERD
